TI,code,age,gender,edu,manage,conhour,contype,lmx,infshare,voice,paysatis,fair,proact,caropp,N,FTEN,FTELY,Council,HR,Levels,Departments,Managers,FB,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,SB,AB,ce,sp,eo
2,ALbeige,-14.3610729,-0.429848693,1.079779917,-0.237276479,-15.56189821,-0.804676754,0.925206327,-0.017881706,1.063101788,0.630215497,-0.24170392,0.661072902,0.040577717,-32.27166437,-26.40302613,-24.52063274,-0.170563961,-0.44085282,-0.667125172,-0.770976616,-1.463548831,-0.549518569,-0.136176066,-0.150618982,-0.828060523,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.227885975,-0.90678231
3,ALbeige,-6.361072902,-0.429848693,1.079779917,-0.237276479,8.438101788,-0.804676754,0.675206327,1.482118294,0.563101788,-0.369784503,-0.11670392,0.061072902,1.040577717,-32.27166437,-26.40302613,-24.52063274,-0.170563961,-0.44085282,-0.667125172,-0.770976616,-1.463548831,-0.549518569,-0.136176066,-0.150618982,-0.828060523,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.227885975,-0.90678231
1.333333333,ALbeige,5.638927098,0.570151307,2.079779917,-0.237276479,-1.561898212,0.195323246,1.008539661,1.482118294,1.813101788,0.963548831,1.13329608,1.061072902,1.707244383,-32.27166437,-26.40302613,-24.52063274,-0.170563961,-0.44085282,-0.667125172,-0.770976616,-1.463548831,-0.549518569,-0.136176066,-0.150618982,-0.828060523,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.227885975,-0.90678231
1.333333333,ALbeige,4.638927098,-0.429848693,2.079779917,-0.237276479,8.438101788,0.195323246,0.091872994,-0.517881706,0.313101788,0.630215497,0.19579608,0.061072902,0.37391105,-32.27166437,-26.40302613,-24.52063274,-0.170563961,-0.44085282,-0.667125172,-0.770976616,-1.463548831,-0.549518569,-0.136176066,-0.150618982,-0.828060523,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.227885975,-0.90678231
1,ALgeel,-1.361072902,-0.429848693,-0.920220083,-0.237276479,0.438101788,-0.804676754,0.675206327,1.482118294,0.563101788,0.630215497,0.75829608,0.461072902,0.707244383,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
2.333333333,ALgeel,-10.3610729,-0.429848693,1.079779917,-0.237276479,8.438101788,0.195323246,0.758539661,1.482118294,0.313101788,0.296882164,0.50829608,1.061072902,1.707244383,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
2.666666667,ALgeel,-11.3610729,0.570151307,1.079779917,-0.237276479,0.438101788,0.195323246,-0.658127006,1.482118294,-0.186898212,-0.703117836,-1.17920392,-0.138927098,0.040577717,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
1.333333333,ALgeel,-8.361072902,0.570151307,1.079779917,-0.237276479,0.438101788,0.195323246,-0.241460339,1.482118294,0.313101788,-0.703117836,-1.11670392,-0.138927098,-0.292755617,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
2,ALgeel,-14.3610729,0.570151307,1.079779917,0.762723521,4.438101788,-0.804676754,0.758539661,0.982118294,0.813101788,-0.036451169,0.13329608,-0.938927098,0.707244383,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
2,ALgeel,-7.361072902,0.570151307,1.079779917,-0.237276479,4.438101788,0.195323246,0.175206327,1.482118294,1.313101788,0.630215497,0.63329608,1.061072902,0.707244383,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
2.666666667,ALgeel,-8.361072902,-0.429848693,1.079779917,0.762723521,8.438101788,0.195323246,0.091872994,1.482118294,0.313101788,0.630215497,0.44579608,1.061072902,-0.959422283,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
2.333333333,ALgrijs,-12.3610729,-0.429848693,-0.920220083,-0.237276479,6.438101788,0.195323246,0.008539661,-2.017881706,-1.186898212,-0.036451169,-0.24170392,0.061072902,-0.62608895,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
